,addinfo,api,category,explain,purpose,title
0,"서비스 게시일 2017-11-02 개발유형 모바일앱 ( 안드로이드 )
개발자 누리봄 개발자 소재지 서울특별시
개발자 유형 기타 등록일 2018-01-29","제공기관 서비스 설명
한국관광공사 무장애 여행 정보 서비스
ㅇ 국민복지관광 서비스(취악계층의 장애요인 해소)
-장애인,어르신,영유아를 동반한 여행의 어려움 해소를 위한 관광정보 제공 서비스
-국문 무장애여행 정보를 위치기반,지역기반,통합검색을 통해 상세 정보 제공 서비스",분류 : 문화관광,"""투트(Together Trip)""는 장애인들도 비장애인들처럼 가고 싶은 곳을 자유롭게 여행 할 수 있도록 ""장애인 맞춤 여행지""와 ""여행코스""를 공유하는 애플리케이션입니다.

개발자 이메일 : xogud3125@naver.com",한국관광공사의 공공데이터를 활용하여 무장애 여행정보를 제공합니다.,투트
0,"서비스 게시일 2017-10-09 개발유형 모바일앱 ( 안드로이드 )
개발자 STKorea 개발자 소재지 서울특별시
개발자 유형 기타 등록일 2018-01-26","제공기관 서비스 설명
한국관광공사 일문 관광정보 서비스
코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 일문으로 제공한다.
한국관광공사 중문 간체 관광정보 서비스
코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 간체로 제공한다.
한국관광공사 영문 관광정보 서비스
코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.
한국관광공사 국문 관광정보 서비스
코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.
한국관광공사 불어 관광정보 서비스
코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 불어로 제공한다.
한국관광공사 독어 관광정보 서비스
코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 독어로 제공한다.
한국관광공사 노어 관광정보 서비스
코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 노어로 제공한다.
건강보험심사평가원 병원정보서비스
건강보험심사평가원에서 관리하는 병원 정보를 조회하는 서비스
국립중앙의료원 전국 약국 정보 조회 서비스
전국 약국 정보를 조회하기 위한 서비스로서 주소별, 진료요일별 및 시간대로 조회할 수 있다",분류 : 문화관광,"대한민국을 방문한 여행객들에게 자국어로 제공되는 앱서비스 입니다.
관광객들의 보다 편한 여행을 위해 문화 관광지, 목적지 인근정보, 번역기, GPS, 지역별 날씨정보, 환율계산기, 숙박, 맛집, 행사 및 공연, 여행지 별 영상정보 등을 포함한 7만여 건의 관광정보를 실시간으로 제공합니다.

개발자 이메일 : ad@smrtkorea.com","한국관광공사, 건강보험심사평가원, 국립중앙의료원의 공공데이터를 활용하여 관광 및 편의시설 정보를 제공합니다.",스마트 투어 코리아
0,"서비스 게시일 2016-01-01 개발유형 모바일앱 ( 안드로이드 )
개발자 무문아이엔씨(주) 개발자 소재지 서울특별시
개발자 유형 중소기업 및 종사자 등록일 2018-01-25","제공기관 서비스 설명
국토교통부 아파트매매 실거래 상세 자료
부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번 등)를 제공하는 아파트 매매 신고 조회 서비스(코드포함)
국토교통부 아파트 전월세 자료
부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스
국토교통부 연립다세대 매매 실거래자료
부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스
국토교통부 연립다세대 전월세 자료
부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스
국토교통부 단독/다가구 매매 실거래 자료
부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스
국토교통부 단독/다가구 전월세 자료
부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 전월세 자료(단독다가구, 면적등)를 제공하는 단독다가구 전월세 신고 조회 서비스",분류 : 국토관리,"부동산 매물에 대해 전국 매물 및 실시간 등록 조회 서비스를 제공하며 매물정보를 전국 중개업소들과 공유하게 해주는 부동산 중개 애플리케이션입니다.

개발자 이메일 : dolnamool564@mumun.co.kr",국토교통부의 공공데이터를 활용하여 부동산 정보를 제공합니다.,알터
0,"서비스 게시일 2017-12-18 개발유형 모바일앱 ( 안드로이드 , iOS , 윈도우 )
개발자 QTT Co. 개발자 소재지 경기도
개발자 유형 기타 등록일 2018-01-19","제공기관 서비스 설명
건강보험심사평가원 의료기관별상세정보서비스
건강보험심사평가원에서 관리하는 의료기관별 상세정보를 조회하는 서비스
국립중앙의료원 전국 병?의원 찾기 서비스
전국 병?의원 정보를 조회하기 위한 서비스로서 주소별, 기관별로 조회할 수 있다
건강보험심사평가원 병원정보서비스
건강보험심사평가원에서 관리하는 병원 정보를 조회하는 서비스",분류 : 보건의료,"병원찾기 및 우리가족의 병원예약과 복약관리를 도와주는 애플리케이션입니다.

[AYA4 주요기능]

1. 병원찾기

내가 어디에 있든 내 주변 병원을 바로 검색하여
빠르게 병원찾기가 가능하고 병원의 상세정보를 확인할 수 있습니다.

2. 진료 예약

[빠른예약] 내 주변 진료 가능한 병원에 예약정보를 보내어 빠르게 진료예약을 할 수 있습니다. 급하게 병원을 가야할 때! 이제 빠른 예약 한번이면 걱정 끝!

[지정예약] 자주 가는 병원 또는 원하는 병원이 있다면 해당 병원에 진료 예약을 할 수 있습니다. 희망하는 진료 날짜와 시간을 정하여 간단히 진료예약을 할 수 있습니다.

3. 실시간문의

병원에 방문하기 전 궁금했던 모든 문의사항! 실시간으로 간편하게 문의할 수 있습니다.
이제 고민하지 말고 AYA4의 실시간 문의 기능으로 병원과 빠르게 문의를 주고받으세요!

4. 가족추가

우리 가족의 정보를 입력해두면 진료예약 시 번거롭게 예약 정보를 입력하지 않아도 됩니다.
또한 가족의 처방전 사진을 업로드하면 가족별로 분류되어 간편하게 처방전 관리가 가능합니다.

5. 처방전 등록 및 관리

처방전을 촬영하거나 갤러리에서 선택하여 등록하면
시스템에서 자동으로 분석하여 처방받은 의약품 정보를 알려주고 복약 시간에 알림을 전송합니다.

6. 복약 알림
분석한 처방전을 기준으로 복약시간에 알림을 보내드립니다.
병원수첩에서 복약을 체크하실 수 있습니다.

개발자 이메일 : q-t-t@naver.com","건강보험심사평가원, 국립중앙의료원의 공공데이터를 활용하여 병원정보를 제공합니다.",AYA4
0,"서비스 게시일 2017-01-02 개발유형 웹사이트 ( )
개발자 Linewalks 개발자 소재지 서울특별시
개발자 유형 중소기업 및 종사자 등록일 2018-01-18","제공기관 서비스 설명
기타 KOSIS 국가통계포털/ 건강보험심사평가원 환자데이터셋 정보",분류 : 보건의료,"라인웍스는 건강보험심사평가원에서 제공하는 공공데이터인 ‘의료명세서’ 등을 분석, 의료 관련 주요 주체들에게 유의미한 데이터 서비스를 제공하고 있습니다.

개발자 이메일 : web@linewalks.com","건강보험심사평가원, 통계청, 식품의약품안전처 의 공공데이터를 활용하여 의료데이터 정보를 제공합니다.",라인웍스
0,"서비스 게시일 2014-11-12 개발유형 모바일앱 ( 안드로이드 )
개발자 smartlab 개발자 소재지 서울특별시
개발자 유형 기타 등록일 2018-01-18","제공기관 서비스 설명
한국관광공사 국문 관광정보 서비스
코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",분류 : 문화관광,"본 어플리케이션(Follow 美)은 야외에 설치된 Beacon 길안내 제품(비콘표지판/비콘보도블럭)과 Follow 美 와의 블루투스(BLE) 통신을 통해 연동하고, 이를 바탕으로 다양한 길안내 서비스를 제공받을 수 있는 프로그램입니다. 본 어플리케이션과 길 안내 제품을 통해 이용할 수 있는 서비스는 다음과 같습니다.

- 출발지/목적지의 간단한 설정만으로 최단경로 검색 및 현재위치 표시 [네비게이션 기능]

- 경로 상에 존재하는 비콘표지판/비콘보도블럭 표시

- 사용자의 위치가 올바른 경로에 있으면, 경로 상의 비콘표지판/비콘보도블럭이 사용자가 접근함에 따라 빛과 소리 신호를 제공

- 다수의 사용자가 한 장소에 위치한 다수의 표지판에 접근할 때, 자신과 연동된 표지판이 무엇인지 알기 위한 '체크 기능'제공
체크기능: 자신과 연동된 비콘표지판/비콘보도블럭이 알기위해 미리 설정한 자신만의 빛 패턴, 소리를 확인할 수 있도록 하는 기능(체크기능을 선택하면, 연동된 비콘표지판과 비콘보도블럭에서 자신만의 빛 패턴과 소리를 제공받을 수 있습니다.)

본 어플리케이션은 다음과 같은 과정으로 실행됩니다.

1. Follow 美 실행 후 사용자 로그인

2. 출발지/목적지 설정 및 경로 탐색

3. 경로 상의 비콘 위치 탐색/비콘 근처에 있으면 사용자 어플리케이션과 비콘간의 연동(BLE)

4. 연동된 비콘에서 사용자의 경로가 올바를 경우, 빛/소리 신호 제공

5. 연동된 비콘 길안내제품이 무엇인지 확인하기 위해서 상기 '체크기능'을 실행하면 제품에서 자신만의 빛 패턴/소리 신호를 제공

개발자 이메일 : smartlab.apps@gmail.com",한국관광공사의 데이터를 활용하여 길안내 정보를 제공합니다.,빛을 따라서
0,"서비스 게시일 2017-12-11 개발유형 웹사이트 ( )
개발자 장용섭 개발자 소재지 인천광역시
개발자 유형 기타 등록일 2018-01-18","제공기관 서비스 설명
한국관광공사 국문 관광정보 서비스
코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",분류 : 문화관광,"풀레이플 . 넷은 여행/문화/놀이를 주제로한 위키백과를 모태로 공공데이터 정보와 지역 정보를 취합하여 이용자에게 제공하고 있으며 별점, 미리보기, 시설정보등 관광지에 대한 필요한 정보를 얻을 수 있도록 하고 있습니다.
지역 분류를 통해 지역별로 컨텐츠를 찾아볼 수 있고 섬,산,공원,사찰 등 다양한 문화시설별로 구분되게 설계 되어 있습니다.
이후 다양한 컨텐츠를 접목하여 단순 여행정보를 떠나서 교통정보를 포함 어딘가를 찾아 갈때 필요한 모든 정보를 한꺼번에 제공하고 이에 대한 유저 피드백, SNS 반응들을 연동하여 보다 많은 통합 정보를 제공할 계획입니다.",한국관광공사의 공공데이터를 활용하여 관광정보를 제공합니다.,플레이플. 넷
0,"서비스 게시일 2017-01-17 개발유형 웹사이트 ( )
개발자 (주)어뮤즈트래블 개발자 소재지 서울특별시
개발자 유형 중소기업 및 종사자 등록일 2018-01-11","제공기관 서비스 설명
공공데이터활용지원센터 전국 공중화장실표준데이터
전국 공중화장실 정보(공중화장실장소, 개방시간 등)를 제공합니다.",분류 : 문화관광,"어뮤즈트래블은 장애인이 더 편리하게 즐길 수 있는 여행 상품을 제공하는 웹사이트입니다. 시각장애인에겐 냄새와 소리가 좋고 만지는 재미가 있는 여행 코스를, 발달장애인에겐 함께 몸을 부대끼며 체험할 수 있는 상품을 제공하는 등 장애인 각각의 특징을 고려한 여행 패키지를 개발·판매하고 있습니다.","한국관광공사, 사회보장정보원, 공공데이터활용지원센터, 한국공항공사, 국민연금공단 등의 공공데이터를 활용하여 장애인 여행정보를 제공합니다.",어뮤즈트래블
0,"서비스 게시일 2018-01-01 개발유형 모바일앱 ( 안드로이드 )
개발자 soundbread 개발자 소재지 서울특별시
개발자 유형 기타 등록일 2018-01-10","제공기관 서비스 설명
농림수산식품교육문화정보원 실시간경매속보서비스
실시간 경매 속보 정보를 조회하기 위한 서비스로서 품목과 도매시장 별로 조회할 수 있으며 품목 분류 체계항목, 도매시장항목,도매법인 항목에 따라 조회할 수 있다.",분류 : 교통물류,"전국 35개 도매시장에서 거래되는 농산물과 수산물의 실시간 경매정보, 도매시장별 가격 정보, 산지별 가격정보와 검색 서비스 및 데이터와 그래프를 제공하는 애플리케이션입니다.

개발자 이메일 : fruitbites@gmail.com",농림수산식품교육문화정보원의 공공데이터를 활용하여 실시간 경매정보를 제공합니다.,농수산물 경매가격
0,"서비스 게시일 2017-12-11 개발유형 모바일앱 ( 안드로이드 )
개발자 GOLDDOCK 개발자 소재지 서울특별시
개발자 유형 기타 등록일 2018-01-10","제공기관 서비스 설명
국토교통부 토지등급정보조회서비스
토지대장과 임야대장에 등록된 토지등급정보(토지등급은 1973.4.1부터 1995.12.31까지 시행)
국토교통부 단독/다가구 매매 실거래 자료
부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스
국토교통부 공유지연명정보조회서비스
토지대장 또는 임야대장에 등록된 1필지의 소유자가 2인이상 일 때 소유자 및 지분등의 정보
국토교통부 대지권등록정보조회서비스
집합건물의 대지권 표시의 등기를 한 토지에 대하여 구분소유자가 전유부를 소유하기 위해 건물의 대지에 갖는 권리인 대지권을 등록한 사항 등에 대한 정보
행정안전부 코드조회서비스
나눔포털 OPEN API 이용시 정보조회에 필요한 입력코드를 조회하기 위한 서비스로서, 지역코드, 자원봉사 분야코드, 기부분야 코드정보를 제공한다.
국토교통부 아파트매매 실거래 상세 자료
부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번 등)를 제공하는 아파트 매매 신고 조회 서비스(코드포함)
국토교통부 지적삼각점정보조회서비스
지적측량시 수평위치측량의 기준으로 사용하기 위하여 국가기준점을 기준으로 하여 정한 기준점정보
국토교통부 연립다세대 전월세 자료
부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스
국토교통부 연립다세대 매매 실거래자료
부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스
국토교통부 아파트매매 실거래자료
부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스
국토교통부 토지임야정보조회서비스
토지대장과 임야대장에 등록된 소유자 개인정보를 제외한 토지의 소재, 지번, 지목, 면적 등 토지(임야)정보
국토교통부 토지 매매 신고 조회 서비스
부동산 거래신고에 관한 법률에 따라 신고된 토지 매매자료(토지,면적등)를 제공하는 토지 매매 신고 조회 서비스
국토교통부 연속지적도형정보조회서비스
전산화된 지적도 및 임야도의 도면상 경계점을 연결하여 연속된 형태로 작성한 도면정보(측량자료로 사용하지 못하는 참조용 도면정보)
국토교통부 오피스텔 전월세 신고 조회 서비스
부동산 거래신고에 관한 법률에 따라 신고된 오피스텔 전월세 자료(오피스텔, 면적, 지번 등)를 제공하는 오피스텔 전월세 신고 조회 서비스
국토교통부 단독/다가구 전월세 자료
부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 전월세 자료(단독다가구, 면적등)를 제공하는 단독다가구 전월세 신고 조회 서비스
국토교통부 아파트 전월세 자료
부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스
국토교통부 지적도근점정보조회서비스
지적측량을 위한 기준점으로, 이미 설치된 삼각점만으로는 세부측량 시행시 그 수량이 불충분하여 새로이 측설하는 보조기준점정보
국토교통부 (도시계획)용도지역정보서비스
국토계획법의 결정/지형도면/실시계획인가고시에 대한 정보
과학기술정보통신부 우정사업본부 도로명주소 우편번호 조회서비스
새우편번호 시행(2015.8.1)에 따른 도로명주소에 해당하는 우편번호를 제공
국토교통부 (도시계획)도시군기본계획정보서비스
국토계획법에 따른 도시?군기본계획에 대한 정보
국토교통부 (도시계획)실시계획인가정보서비스
도시계획의 실시계획인가에 대한 지자체별 고시에 대한 정보
국토교통부 (도시계획)시설정보서비스
국토의 계획 및 이용에 관한 법률 제2조의 기반시설 중 도시·군관리 계획으로 결정된 시설에 대한 정보
통계청 KOSIS 통계자료 서비스
통계표ID, 분류, 항목 등을 기준으로 KOSIS 통계표 수치데이터를 JSON, SDMX 포맷으로 조회하는 KOSIS 통계자료 서비스",분류 : 국토관리,"호재정보와 관련된 다양한 지도 정보 데이터를 기본으로 공간위치 정보를 제공하는 어플리케이션입니다.

- 기능 -

1.전국 호재정보 검색
전국에 있는 호재정보를 분류별, 지역별 검색 할 수 있는 정보 서비스 제공
2.호재정보의 한 곳에서 보기
-POI 위치 정보를 기초하여 최신의 지역별, 공간별로 다양한 호재정보를 제공
-지도에서 한 번에 검색하고 볼 수 있어서 전국에 호재 정보를 쉽게 파악 할 수 있도록 제공
3.통계 및 분석을 통한 위기기반 공간분석시스템
위치기반의 다양한 최신 호재정보를 수집,분석하고 공간정보 빅데이터를 구축 하여 정보 가치 분석 솔루션 제공
4.사용자 호재참여
사용자가 관심 있는 호재정보를 등록 하고 관리 할 수 있는 사용자 참여 코너(포인트 제공)
5.전문가 코너
다양한 분야의 호재 정보 전문가가 참여 할 수 있는 관리 시스템 제공 및 홍보 공간 제공

개발자 이메일 : info@hojaewang.com","국토교통부, 행정안전부의 공공데이터를 활용하여 부동산 및 공간 정보를 제공합니다.",호재왕
